,Gene,aboral-1,aboral-2,aboral-3,aboral-4,oral-1,oral-2,oral-3,oral-4
33,ML05656a,98.79305965,115.3328501,75.34024352,98.3752211,1255.979694,1330.478422,1647.681926,2877.439476
34,ML21583a,1097.073405,1392.865959,1263.661357,1573.019785,23649.08919,11228.89118,19518.50595,12808.5634
35,ML063333a,3.763545129,4.435878851,0.856139131,5.902513266,275.0320498,183.1033008,236.602734,280.9433351
36,ML01571a,15.9950668,9.758933471,16.26664349,24.59380528,232.8604688,316.3678333,228.0655219,296.5512981
37,ML00413a,53.63051809,29.27680041,28.25259132,53.12261939,585.8182661,834.2576426,784.203907,491.6508364
38,ML342213a,33.87190616,63.87665545,60.78587829,52.13886718,646.3253171,420.3791757,662.2437348,691.2097927
39,ML020040a,4.704431412,0.88717577,1.712278262,0.983752211,342.8732888,682.5744348,973.2421739,449.2863652
40,ML05514a,0.940886282,8.871757701,0.856139131,2.951256633,3062.023488,8590.686815,21777.20834,20135.3872
41,ML22359a,20.69949821,31.93832772,12.84208696,21.64254864,742.5865345,331.5361541,553.6991816,754.7564994
42,ML06514a,50.80785925,36.37420658,53.93676525,24.59380528,1592.435568,764.9167476,670.7809469,1000.02449
43,ML282521a,9.408862823,6.210230391,9.41753044,8.853769899,134.7657044,151.6832077,182.9402582,150.5053581
44,ML054912a,5.645317694,9.758933471,9.41753044,6.886265477,192.5224349,322.8685422,387.8333475,548.5084161
45,ML276914a,1098.014291,2593.214776,2273.905532,1029.004813,7.334187995,27.0862871,4.878406886,26.7565081
46,ML343417a,0,0.88717577,2.568417393,0.983752211,652.7427316,442.0482054,787.8627122,509.4885085
47,ML064942a,14.11329424,15.08198809,8.561391309,1.967504422,370.3764938,1036.86307,1258.628977,1287.656952
48,ML08487a,1.881772565,1.77435154,5.992973916,8.853769899,276.8655968,267.6125165,586.6284281,498.3399634
49,ML38528a,3.763545129,6.210230391,2.568417393,2.951256633,176.9372854,335.86996,412.2253819,227.4303189
50,ML31211a,6.586203976,7.984581931,2.568417393,5.902513266,149.4340804,135.4314355,128.0581808,146.0459401
51,ML14713a,1294.659524,1879.925457,1298.763062,1669.427502,12696.39619,8307.905978,9261.655474,8433.874325
52,ML004415a,21.64038449,25.72809733,15.41050436,12.78877874,358.4584383,1380.31719,1617.191883,852.8636958
53,ML08442a,38.57633758,55.89207352,65.92271308,54.10637161,606.9040566,639.2363755,1118.374779,530.6707441
54,ML22358a,1.881772565,0.88717577,0.856139131,0.983752211,1024.035999,505.971843,346.3668889,798.2358251
55,ML05964a,431.8668036,510.1260678,602.7219482,478.1035746,4039.304038,2191.822352,3608.801494,3662.297047
56,ML11351a,33.87190616,32.82550349,25.68417393,27.54506191,314.4533103,186.3536552,308.5592356,276.4839171
57,ML034332a,1.881772565,2.66152731,0,0,1848.215375,11168.2179,16584.14421,6914.327636
58,ML18354a,74.3300163,36.37420658,17.97892175,30.49631854,1421.915698,948.0200484,2052.589697,954.3154557
59,ML233326a,37.63545129,88.71757701,65.06657395,48.20385834,555.5647406,1124.62264,1211.06451,1237.4885
60,ML258215a,0,0.88717577,0,1.967504422,650.9091846,945.8531454,1392.785166,1204.042865
61,ML200261a,24.46304334,21.29221848,23.11575653,25.57755749,297.0346138,1430.155959,1024.465446,677.8315386
62,ML030234a,774.3494104,1719.346643,2559.856001,1782.559006,15.58514949,62.84018606,42.68606026,55.74272522
63,ML172113a,12.23152167,2.66152731,2.568417393,5.902513266,187.9385674,173.3522374,286.6064046,193.9846838
64,ML040510a,1400.979674,1109.856888,1159.212383,1582.857308,12.83482899,40.0877049,52.44287403,79.15466981
65,ML002223a,9.408862823,1.77435154,3.424556524,5.902513266,503.3086512,230.7751661,590.2872333,200.6738108
66,ML13717a,11.29063539,6.210230391,5.992973916,8.853769899,115.5134609,203.688879,221.9675133,151.6202126
67,ML047920a,1.881772565,4.435878851,1.712278262,10.82127432,272.2817293,153.8501107,176.8422496,261.9908085
68,ML15994a,29.16747475,68.3125343,61.64201743,33.44757517,472.1383522,422.5460787,617.1184711,541.8192891
69,ML45522a,315.1969046,427.6187212,432.3502611,474.1685657,2442.284602,3875.505958,6772.44836,5216.404226
70,ML17214a,2.822658847,12.42046078,2.568417393,4.918761055,554.6479671,170.101883,854.9408069,691.2097927
71,ML02663a,21.64038449,94.04063163,99.31213919,60.99263708,1079.042409,2126.815263,2624.582905,2643.32003
72,ML199832a,120.4334441,42.58443697,106.1612522,486.9573445,18039.35215,21035.21056,11456.93857,19215.63224
73,ML08666a,44.22165527,51.45619467,49.65606959,105.2614866,581.2343986,638.152924,1000.073412,907.4915665
74,ML124235a,8.467976541,7.097406161,11.98594783,8.853769899,204.4404904,346.7044748,632.9732935,191.7549747
75,ML296213a,1.881772565,2.66152731,5.992973916,25.57755749,640.8246761,854.8432208,1265.946587,1599.816214
76,ML282522a,0,0.88717577,1.712278262,7.870017688,136.5992514,140.8486929,165.8658341,169.4578847
77,ML01772a,14.11329424,7.984581931,9.41753044,18.69129201,126.5147429,245.9434868,243.9203443,209.5926468
78,ML01785a,1.881772565,2.66152731,2.568417393,0.983752211,132.0153839,143.0155959,189.0382669,109.2557414
79,ML034614a,0,3.54870308,0.856139131,12.78877874,319.9539513,596.9817676,778.1058984,824.9923332
80,ML154168a,315.1969046,452.4596428,383.5503306,327.5894863,3381.060666,1874.371067,4430.813055,2612.104104
81,ML150914a,98.79305965,131.302014,93.31916527,87.55394678,998.3663408,8673.029128,9406.788079,4178.474682
82,ML35935a,838.3296776,826.8478178,649.8096004,868.6532023,3287.549769,2500.606025,3991.756435,3334.529822
83,ML04965a,0.940886282,0.88717577,1.712278262,2.951256633,129.2650634,261.1118076,312.2180407,180.6064297
84,ML182023a,2.822658847,1.77435154,0,1.967504422,119.1805549,189.6040097,169.5246393,141.586522
85,ML154169a,191.9408016,310.5115195,284.2381915,215.4417342,2026.069434,1358.648161,3130.717619,1981.096454
86,ML22974a,45.16254155,82.50734662,87.32619135,88.53769899,619.7388856,455.0496232,887.8700533,701.2434832
87,ML031712a,3.763545129,2.66152731,2.568417393,0.983752211,142.0998924,135.4314355,90.2505274,181.7212842
88,ML003015a,28.22658847,21.29221848,48.79993046,16.72378759,1466.837599,381.3749223,775.666695,717.9663008
89,ML01517a,58.33494951,55.00489775,23.11575653,72.79766362,506.0589717,1317.477004,1775.740107,1342.284823
90,ML195916a,0,0,1.712278262,0.983752211,778.340701,386.7921797,1003.732217,411.3813121
91,ML13782a,260.6255002,306.0756407,357.0100176,239.0517873,46.75544847,28.16973858,25.61163615,17.83767207
92,ML00948a,17.87683936,3.54870308,1.712278262,2.951256633,351.1242503,296.8657066,528.0875455,321.0780972
93,ML01053a,3.763545129,1.77435154,1.712278262,0,150.3508539,96.42718206,141.4737997,149.3905036
94,ML13378a,41.39899642,49.68184313,67.63499134,20.65879643,2446.86847,617.5673458,895.1876637,1311.068897
95,ML13065a,543.8322712,280.3475434,447.7607655,664.0327424,3764.271989,2816.973858,4402.762215,3490.609453
96,ML154186a,21.64038449,75.40994046,89.03846961,57.05762824,923.1909139,762.7498446,1028.124251,1511.742708
97,ML003220a,67.74381233,47.90749159,47.0876522,130.8390441,1882.135994,677.1571774,1946.484348,1643.295539
98,ML1541127a,8.467976541,11.53328501,23.97189567,22.62630085,1317.403519,313.1174788,772.0078898,376.8208225
99,ML05383a,13.17240795,48.79466736,47.0876522,48.20385834,460.2202967,968.6056266,1483.035693,1527.350671
100,ML216324a,30.10836103,30.16397618,50.51220872,21.64254864,697.664633,361.8727956,281.7279977,587.5283238
101,ML127018a,115.7290127,100.250862,65.06657395,62.96014151,1186.304908,1163.626894,611.0204625,2062.480833
102,ML458318a,110.083695,186.3069117,321.0521741,169.2053803,6543.929239,2160.402259,4022.246478,2506.192926
103,ML01321a,237.1033431,137.5122444,97.59986092,531.2261939,6436.666739,4831.110166,7776.180577,7708.104043
104,ML090812a,0,0.88717577,0,0,2093.910673,2189.655449,8160.355119,1147.185285
105,ML319815a,0,0,0,0.983752211,249.3623918,1488.662339,1886.723863,779.2832985
106,ML111712a,6.586203976,20.40504271,7.705252178,7.870017688,260.3636738,143.0155959,435.3978146,363.4425684
107,ML104338a,19.75861193,35.4870308,86.47005222,47.22010613,583.0679456,651.1543418,891.5288585,878.5053494
108,ML010519a,44.22165527,29.27680041,34.24556524,22.62630085,221.8591869,325.0354452,453.6918404,248.6125545
109,ML311621a,2.822658847,2.66152731,0.856139131,2.951256633,121.9308754,85.59266722,196.3558772,115.9448684
110,ML35608a,612.5169698,307.8499922,119.0033392,764.375468,11050.78776,9167.083005,17343.95608,23162.21718
111,ML10903a,8.467976541,24.84092156,17.97892175,21.64254864,208.1075844,344.5375719,491.4994938,206.2480833
112,ML32991a,186.2954839,117.1072017,120.7156175,143.6278228,558.3150611,531.9746786,706.1493968,555.1975431
113,ML01164a,939.0045098,754.9865804,859.5636874,2974.866686,17.41869649,2.166902968,18.29402582,36.79019864
114,ML00613a,15.05418052,6.210230391,8.561391309,47.22010613,474.8886727,1141.957864,1563.529407,804.9249521
115,ML017711a,101.6157185,47.90749159,133.5577044,70.83015919,807.677453,605.6493795,970.8029704,717.9663008
116,ML03354a,134.5467384,250.1835672,193.4874436,144.611575,18.33546999,18.41867523,19.51362755,25.6416536
117,ML451313a,121.3743304,104.6867409,148.9682088,110.1802476,426.2996772,564.4782231,413.4449836,429.2189842
118,ML11696a,12.23152167,9.758933471,12.84208696,27.54506191,476.7222197,232.942069,254.8967598,179.4915752
119,ML343422a,114.7881264,837.493927,254.2733219,526.3074329,1.833546999,2.166902968,0,5.574272522
120,ML056959a,20.69949821,30.16397618,29.10873045,20.65879643,388.7119637,412.7950153,1204.966501,287.6324621
121,ML046520a,108.2019225,56.77924929,93.31916527,88.53769899,1906.888879,526.5574211,1067.151506,1004.483908
122,ML14781a,686.8469861,1560.54218,993.1213919,329.5569907,12.83482899,24.91938413,8.537212051,43.47932567
123,ML039811a,2.822658847,4.435878851,5.136834785,4.918761055,139.3495719,69.34089497,207.3322927,113.7151594
124,ML07021a,2101.939955,1116.954295,1224.278957,3516.914154,112.7631404,175.5191404,150.0110118,189.5252657
125,ML14247a,0.940886282,3.54870308,0.856139131,4.918761055,73.34187995,265.4456135,326.8532614,189.5252657
126,ML31162a,20.69949821,17.7435154,19.69120001,8.853769899,115.5134609,240.5262294,281.7279977,219.6263373
127,ML01922a,0,0,0.856139131,2.951256633,124.6811959,282.7808373,291.4848115,180.6064297
128,ML174717a,33.87190616,14.19481232,5.992973916,30.49631854,286.0333318,1034.696167,1015.928234,614.2848319
129,ML257634a,27.28570219,31.05115195,26.54031306,39.35008844,429.0499977,228.6082631,609.8008608,239.6937184
130,ML10553a,1.881772565,6.210230391,6.849113047,6.886265477,76.09220045,170.101883,114.6425618,185.0658477
131,ML31402a,0,0,0.856139131,0,247.5288448,443.1316569,453.6918404,267.565081
132,ML018024a,254.9801825,754.9865804,493.1361394,132.8065485,13.75160249,9.751063355,9.756813773,14.49310856
133,ML258214a,0,0.88717577,0.856139131,0,324.5378188,479.9690073,576.8716143,501.6845269
134,ML068137a,158.0688954,201.3888998,205.4733914,263.6455926,42.17158097,32.50354452,41.46645854,41.24961666
135,ML03213a,28.22658847,7.097406161,12.84208696,19.67504422,604.1537361,2226.492799,7357.857187,9333.56191
136,ML06162a,0,0.88717577,1.712278262,0,550.0640996,224.2744572,407.346975,178.3767207
137,ML22661a,294.4974064,849.027212,772.2374961,496.7948666,34.83739298,60.6732831,59.76048436,60.20214323
138,ML082014a,230.5171392,106.4610924,214.0347827,261.6780881,1218.391981,1049.864488,1245.213358,1260.900444
139,ML04671a,10.34974911,15.96916386,4.280695655,12.78877874,106.3457259,263.2787106,307.3396338,198.4441018
140,ML00854a,1043.442887,3123.745887,2237.091549,1633.02867,63.25737146,156.0170137,146.3522066,196.2143928
141,ML085712a,1.881772565,3.54870308,4.280695655,9.83752211,106.3457259,91.00992464,184.15986,107.0260324
142,ML36961a,8.467976541,22.17939425,5.992973916,15.74003538,124.6811959,271.9463224,259.7751667,228.5451734
143,ML15049a,227.6944803,93.15345586,150.680487,194.7829378,988.2818324,893.8474742,952.5089446,1157.218975
144,ML034330a,362.2412187,339.78832,322.7644524,372.842088,1230.310036,871.094993,1435.471226,1157.218975
145,ML049021a,1.881772565,0.88717577,0.856139131,0,199.8566229,157.1004652,384.1745423,131.5528315
146,ML26664a,51.74874553,7.984581931,26.54031306,5.902513266,926.8580079,789.8361317,826.8899673,595.3323053
147,ML04122a,444.0983253,459.5570489,461.4589916,301.0281766,1572.266551,1270.888591,1842.818201,1472.7228
148,ML149639a,1.881772565,7.984581931,1.712278262,8.853769899,247.5288448,224.2744572,343.9276855,86.95865134
149,ML14303a,13852.66873,7524.137706,15919.051,28976.42138,246.6120713,342.3706689,1157.402034,666.6829936
150,ML102216a,374.4727404,275.9116645,347.5924871,346.2807783,108.1792729,86.67611871,67.07809469,84.72894233
151,ML044918a,4.704431412,8.871757701,10.27366957,5.902513266,78.84252095,393.2928886,390.2725509,201.7886653
152,ML23452a,318.9604497,366.4035931,339.0310958,338.4107606,3361.808422,1538.501107,5590.654292,2590.921868
153,ML154165a,10.34974911,14.19481232,22.2596174,23.61005306,202.6069434,430.1302391,972.0225721,286.5176076
154,ML444214a,201.3496644,424.9571939,550.4974612,139.692814,4971.662687,3382.535533,4832.062021,4036.88816
155,ML154123a,0,0.88717577,0,4.918761055,107.2624994,367.290053,490.2798921,185.0658477
156,ML154131a,49.86697296,9.758933471,29.96486958,6.886265477,1445.751809,628.4018606,604.9224539,690.0949382
157,ML079714a,128.9014207,145.4968263,92.46302614,62.96014151,969.9463624,518.9732608,776.8862967,771.479317
158,ML04471a,2799.13669,6228.861082,6998.937395,6360.941796,143.9334394,232.942069,500.0367059,517.29249
159,ML00853a,852.4429718,2567.486679,1875.800836,1536.620954,81.59284145,135.4314355,134.1561894,224.0857554
160,ML032522a,0,0,0,0,107.2624994,248.1103898,192.697072,156.0796306
161,ML11575a,0,0.88717577,0,0,184.2714734,215.6068453,762.251076,628.7779404
162,ML46088a,68.68469861,33.71267926,31.67714784,27.54506191,331.8720068,308.7836729,524.4287403,302.1255707
163,ML049019a,320.8422223,350.4344292,662.6516873,594.1863355,23.83611098,14.08486929,53.66247575,43.47932567
164,ML00705a,0,0,0,0.983752211,297.0346138,252.4441957,408.5665767,147.1607946
165,ML035013a,1170.462535,1300.599679,1184.040418,1075.241167,3.667093998,33.586996,8.537212051,60.20214323
166,ML019123a,35.75367873,20.40504271,49.65606959,42.30134507,271.3649558,188.5205582,267.092777,337.8009148
167,ML276917a,28.22658847,71.86123738,78.76480004,52.13886718,601.4034156,560.1444171,423.2017974,341.1454783
168,ML03616a,1.881772565,0,0,0.983752211,317.2036308,131.0976295,318.3160493,166.1133211
169,ML038826a,514.6647964,1382.21985,1458.00494,435.8022295,12556.12985,8520.262469,13561.97114,14842.05802
170,ML238311a,3.763545129,3.54870308,5.992973916,2.951256633,70.59155945,217.7737483,226.8459202,83.61408782
171,ML17503a,14.11329424,21.29221848,21.40347827,9.83752211,183.3546999,422.5460787,1142.766813,303.2404252
172,ML01358a,8.467976541,1.77435154,5.136834785,1.967504422,84.34316194,131.0976295,184.15986,82.49923332
173,ML10228a,104.4383773,63.87665545,85.61391309,112.1477521,320.8707248,352.1217323,384.1745423,318.8483882
174,ML047946a,8.467976541,14.19481232,15.41050436,9.83752211,87.09348244,456.1330747,541.5031644,245.2679909
175,ML021612a,0,0.88717577,0,0,209.9411314,177.6860434,476.8642732,173.9173027
176,ML07763a,206.9949821,196.953021,267.971548,250.8568138,935.1089694,652.2377933,1039.100667,739.1485364
177,ML238310a,2.822658847,8.871757701,2.568417393,8.853769899,88.92702944,317.4512848,384.1745423,131.5528315
178,ML200224a,1.881772565,3.54870308,3.424556524,0.983752211,52.25608947,144.0990474,173.1834445,90.30321485
179,ML077223a,298.2609515,456.0083458,429.7818437,297.0931677,1954.561101,1490.829242,3557.578222,2205.18221
180,ML149617a,31.9901336,51.45619467,41.09467828,30.49631854,176.0205119,156.0170137,240.2615392,197.3292473
181,ML056913a,143.9556012,211.1478333,250.8487654,224.2955041,734.335573,911.1826979,1403.761582,1278.738116
182,ML018018a,6.586203976,5.323054621,8.561391309,4.918761055,117.3470079,62.84018606,103.6661463,65.77641575
183,ML24001a,1000.162118,1421.255584,2508.487654,2405.274156,8.250961495,79.09195832,6.098008608,45.70903468
184,ML092617a,536.3051809,1017.590608,946.0337397,1220.836494,146.6837599,74.75815239,170.744241,95.87748737
185,ML085016a,272.8570219,162.3531659,318.4837567,309.8819465,40.33803397,57.42292864,46.34486542,49.05359819
186,ML17501a,29.16747475,40.81008543,32.53328697,27.54506191,258.5301268,642.4867299,1848.91621,457.0903468
187,ML17502a,83.73887913,77.184292,65.92271308,162.3191148,623.4059796,3033.664155,5823.598221,1791.571188
188,ML074912a,1.881772565,6.210230391,0,0.983752211,65.09091846,76.92505535,104.8857481,103.6814689
189,ML001527a,0.940886282,0.88717577,3.424556524,0,51.33931597,146.2659503,164.6462324,127.0934135
190,ML095311a,45.16254155,65.65100699,60.78587829,56.07387603,205.3572639,425.7964332,532.9659523,351.1791689
191,ML009411a,2.822658847,0.88717577,0,0,101.7618584,88.84302168,145.1326049,86.95865134
192,ML12842a,32.93101988,12.42046078,11.1298087,14.75628317,193.4392084,263.2787106,695.1729813,259.7610995
193,ML003517a,307.6698143,780.7146777,474.3010785,148.5465839,24.75288448,15.16832077,23.17243271,31.21592612
194,ML069713a,9.408862823,6.210230391,2.568417393,0.983752211,112.7631404,74.75815239,195.1362755,117.059723
195,ML020059a,12.23152167,16.85633963,15.41050436,14.75628317,70.59155945,146.2659503,128.0581808,118.1745775
196,ML009410a,16.93595308,3.54870308,0,4.918761055,289.7004258,215.6068453,343.9276855,189.5252657
197,ML065730a,0.940886282,1.77435154,2.568417393,0.983752211,48.58899547,93.17682761,130.4973842,82.49923332
198,ML030522a,55.51229066,78.07146777,120.7156175,35.4150796,762.7555515,465.8841381,530.5267489,685.6355202
199,ML05859a,0,0,0,0,105.4289524,99.67753651,121.9601722,65.77641575
200,ML03328a,2.822658847,5.323054621,2.568417393,7.870017688,55.92318346,171.1853344,223.1871151,102.5666144
201,ML03342a,0.940886282,10.64610924,6.849113047,9.83752211,77.00897395,247.0269383,278.0691925,175.0321572
202,ML03655a,907.0143762,1250.917836,813.3321744,380.7121057,57.75673046,94.26027909,82.93291707,128.208268
203,ML033224a,318.9604497,154.368584,341.5995132,241.0192917,5.500640996,11.91796632,0,18.95252657
204,ML003020a,461.0342783,142.835299,365.5714089,344.3132739,2935.508745,1662.014576,2563.602819,3113.788631
205,ML00949a,19.75861193,4.435878851,1.712278262,0.983752211,285.1165583,208.0226849,371.9785251,251.957118
206,ML063323a,5.645317694,6.210230391,2.568417393,4.918761055,70.59155945,45.50496232,85.37212051,85.84379683
207,ML004922a,4.704431412,2.66152731,0.856139131,3.935008844,51.33931597,61.75673458,96.34853601,65.77641575
208,ML15975a,22.58127078,4.435878851,13.69822609,11.80502653,261.2804473,123.5134692,150.0110118,154.9647761
209,ML14971a,11937.96515,6212.004742,10384.11152,23899.27621,23.83611098,17.33522374,80.49371363,205.1332288
210,ML28203a,115.7290127,172.1120994,164.3787131,104.2777344,412.5480747,517.8898093,542.7227661,505.0290905
211,ML005114a,331.1919714,367.2907688,349.3047654,341.3620172,652.7427316,731.3297516,829.3291707,814.9586427
212,ML17567a,49.86697296,68.3125343,97.59986092,77.71642467,476.7222197,258.9449046,565.8951988,420.3001481
213,ML003222a,233.339798,181.8710329,381.8380524,267.5806014,996.5327938,1058.5321,1324.48747,1041.274107
214,ML15092a,0,0,0,4.918761055,90.76057644,81.25886129,192.697072,123.74885
215,ML1541128a,1.881772565,15.08198809,9.41753044,8.853769899,426.2996772,156.0170137,148.79141,938.7074926
216,ML000132a,289.792975,754.0994046,587.3114438,826.3518573,2700.814729,5242.82173,6085.812591,6665.715081
217,ML07842a,28.22658847,32.82550349,55.64904351,16.72378759,333.7055538,240.5262294,292.7044132,192.8698292
218,ML22662a,737.6548454,2456.589707,1519.646957,796.8392909,86.17670894,109.4285999,43.90566198,152.7350671
219,ML07431a,82.79799285,90.49192855,140.4068175,107.228991,332.7887803,462.6337836,563.4559954,633.2373585
220,ML13119a,9.408862823,23.95374579,19.69120001,13.77253095,167.7695504,128.9307266,263.4339719,110.3705959
221,ML20267a,1.881772565,12.42046078,6.849113047,42.30134507,306.2023488,641.4032784,1203.746899,1021.206726
222,ML234011a,11548.43823,7969.499943,6211.289395,10868.49443,636.2408086,884.0964108,224.4067168,1251.981608
223,ML040522a,4.704431412,1.77435154,0.856139131,4.918761055,77.00897395,100.760988,682.9769641,205.1332288
224,ML204430a,137.3693972,38.14855812,51.36834785,23.61005306,605.9872831,1367.315773,3206.332926,1437.047456
225,ML074219a,2.822658847,2.66152731,0,2.951256633,87.09348244,41.17115639,145.1326049,103.6814689
226,ML398338a,3.763545129,8.871757701,9.41753044,4.918761055,69.67478595,88.84302168,54.88207747,66.89127026
227,ML021119a,8.467976541,7.984581931,8.561391309,7.870017688,55.00640996,212.3564908,463.4486542,175.0321572
228,ML04064a,6.586203976,3.54870308,3.424556524,4.918761055,66.00769196,55.25602568,57.32128092,45.70903468
229,ML32311a,188.1772565,192.5171421,199.4804175,238.0680351,486.8067282,421.4626272,513.4523248,477.1577278
230,ML022411a,1395.334357,1955.335397,2001.653288,869.6369545,10448.46757,5844.137304,12114.3039,9044.814593
231,ML435823a,5.645317694,1.77435154,0.856139131,4.918761055,47.67222197,61.75673458,63.41928952,75.81010629
232,ML145832a,48.92608668,74.52276469,67.63499134,100.3427255,262.1972208,926.3510187,1137.888406,783.7427165
233,ML270523a,12.23152167,11.53328501,6.849113047,15.74003538,95.34444394,72.59124942,68.29769641,78.0398153
234,ML45134a,8.467976541,5.323054621,3.424556524,10.82127432,57.75673046,62.84018606,92.68973084,82.49923332
235,ML46081a,1686.068218,1953.561046,1864.671027,1425.456954,101.7618584,345.6210233,309.7788373,276.4839171
236,ML376310a,701.9011666,2052.037556,2030.762019,2551.853235,114.5966874,156.0170137,284.1672011,204.0183743
237,ML04829a,950.2951452,856.1246182,744.8410439,1011.297273,2138.832574,4098.696963,4458.863894,3430.40731
238,ML04419a,9.408862823,15.96916386,4.280695655,20.65879643,239.2778833,105.0947939,179.2814531,128.208268
239,ML055015a,919.2458978,1304.148382,1261.949079,1504.157131,330.0384598,320.7016392,428.0802043,454.8606378
240,ML04208a,975.6990748,1321.891897,1252.531549,1130.33129,448.3022412,328.2857996,482.9622818,455.9754923
241,ML03218a,0,2.66152731,0,0,97.17799094,87.75957019,125.6189773,80.26952431
242,ML04842a,55.51229066,39.92290966,58.2174609,50.17136276,194.3559819,147.3494018,209.7714961,167.2281756
243,ML10227a,14.11329424,9.758933471,5.992973916,12.78877874,56.83995696,204.7723304,259.7751667,173.9173027
244,ML15152a,6.586203976,14.19481232,10.27366957,4.918761055,88.01025594,75.84160387,164.6462324,88.07350584
245,ML174722a,400.8175563,388.5829873,423.7888698,154.4490971,2865.833959,1412.820735,3539.284196,2646.664593
246,ML45836a,11.29063539,26.6152731,10.27366957,15.74003538,87.09348244,162.5177226,241.4811409,229.6600279
247,ML02238a,1955.161695,2217.939425,2227.674019,2689.578545,704.998821,887.3467653,1031.783056,881.8499129
248,ML13174a,376.3545129,296.3167072,312.4907828,394.4846366,1497.091125,834.2576426,1607.435069,1206.272574
249,ML020053a,8.467976541,12.42046078,13.69822609,10.82127432,69.67478595,115.9293088,162.207029,76.9249608
250,ML07244a,1.881772565,0.88717577,3.424556524,3.935008844,73.34187995,34.67044748,92.68973084,81.38437881
251,ML083720a,10.34974911,11.53328501,26.54031306,13.77253095,100.8450849,123.5134692,184.15986,109.2557414
252,ML048112a,8.467976541,7.984581931,4.280695655,76.73267246,2966.679044,3594.892023,4225.919965,2852.912677
253,ML149615a,4.704431412,13.30763655,12.84208696,4.918761055,104.5121789,84.50921574,184.15986,86.95865134
254,ML463513a,57.39406322,9.758933471,17.97892175,9.83752211,291.5339728,420.3791757,521.9895369,410.2664576
